"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"A1BG-AS1",8.89e-05,0.931993540822903,0.001,2438,3131,32,0.409744847403836
"A2M-AS1",0.00122491906013206,0.678852087097922,0.001,2438,477,12,1.97799799003972
"A2ML1-AS1",0.0125868918182291,1.09723989128653,0.014,5944,7213,6,-0.486058550182253
"AA06",0.0036977197407272,0.970807001323891,0.004,4765.5,3982,8,-0.311800550228321
"AADACL2-AS1",2.46e-05,0.651209811083689,0.001,2438,382,11,2.18370396994498
"AATK-AS1",1.37e-16,0.831890257886442,0,587,1595,48,1.91908350242044
"AB015752.3",0.0575111633444291,1.24159600702703,0.058,8031,10075,5,-0.433673380163094
"AB019440.50",0.194410072948476,1.24262490275127,0.209,10083.5,10088,5,-0.935377244403139
"ABCA9-AS1",0.011843744679554,1.17748663525158,0.014,5944,9125,10,-0.136767047168377
"ABCC5-AS1",0.00082161243899738,0.966892759927781,0.001,2438,3898,12,0.227830206334596
"AC000032.2",0.509316480994012,1.20950041944956,0.443,11676,9648,3,-1.36568892111882
"AC000036.4",0.106938105221584,0.74813021202765,0.106,8975,835,4,-0.307443856573419
"AC000067.1",0.00468943299009539,0.699411682661045,0.004,4765.5,555,4,1.31072127506399
"AC000068.5",0.00332039949744071,0.906887863721665,0.003,4303,2665,5,0.135659144502709
"AC000099.1",0.0610625534293486,1.06440996818274,0.062,8132,6369,4,-1.22193637614217
"AC000111.3",0.00542720926666327,1.10404412035342,0.006,5113,7417,6,-0.124535608609454
"AC000111.6",0.269616660299627,1.30428038075349,0.289,10724.5,10601,5,-0.823689246585279
"AC000123.4",0.120274087947042,1.26616196653001,0.121,9208.5,10311,3,-0.626795300536058
"AC000124.1",0.000191921600315637,1.04856267472504,0.001,2438,5942,4,0.296875923600599
"AC000370.2",0.00474126639001562,0.936545508270181,0.004,4765.5,3219,25,-0.134003627429764
"AC002064.4",0.232435024747139,1.15720956180502,0.243,10407.5,8699,6,-1.34729299799207
"AC002064.5",0.00189722754722273,1.02119167900124,0.002,3860.5,5217,11,-0.0894042069677963
"AC002066.1",3.94e-05,1.12379889209995,0.001,2438,7887,16,0.639782891033548
"AC002076.10",0.16257487660826,1.17272041141158,0.171,9746,9007,4,-1.14268514938514
"AC002115.5",0.0035468669487131,0.870736563584585,0.003,4303,2112,13,0.336958633234218
"AC002115.9",0.0212281544994792,0.919371281401914,0.017,6593.5,2886,4,-0.606454569820509
"AC002116.7",2.33e-08,0.902537169459403,0,587,2606,25,1.51574004258957
"AC002116.8",2.29e-14,0.810831561132959,0,587,1350,52,0
"AC002127.4",0.004922859187462,0.810732739483808,0.004,4765.5,1348,12,0.579855925655755
"AC002310.12",0.0220459673681066,1.00678714539221,0.017,6593.5,4854,7,-0.987987748950514
"AC002310.7",1.15e-06,0.844837164072538,0,587,1745,14,1.84266331230155
"AC002331.1",0.0440248235456378,1.05292904119938,0.042,7622.5,6068,6,-1.12208230253963
"AC002368.4",0.00501847770266416,1.17598085097798,0.004,4765.5,9082,7,0.344749123087627
"AC002383.2",0.00048112983466636,1.10089721420966,0.001,2438,7319,13,0.537895449938161
"AC002398.11",0.0449587375386751,0.932618126962762,0.043,7674,3145,4,-1.04236392591049
"AC002398.12",0.000108106900919857,0.891294900416267,0.001,2438,2429,9,0.630696251415356
"AC002398.13",0.00729626103068748,0.784983657151275,0.009,5337.5,1100,5,0.424671908039978
"AC002398.5",3.89e-13,0.742891865810826,0,587,797,58,0
"AC002401.1",6.47e-12,0.775171680730643,0,587,1013,28,0
"AC002429.5",0.0272003013099976,1.06234267901772,0.023,6875.5,6317,5,-0.840976514762985
"AC002451.3",0.0167581099534159,1.02445889528218,0.015,6203.5,5298,6,-0.852755369455023
"AC002454.1",1.66e-05,0.916650423382859,0.001,2438,2848,16,0.49188794378837
"AC002456.2",1.14e-08,0.88036695676999,0,587,2253,14,1.63881318383836
"AC002463.3",4.17e-06,1.00191123690504,0.001,2438,4721,25,0.0716641378796813
"AC002467.7",0.00554365706073012,0.987067485874764,0.006,5113,4356,12,-0.550916607917744
"AC002472.11",0.0214318532554522,0.805794665947872,0.017,6593.5,1300,6,0.0460505684375971
"AC002480.2",1.08e-05,1.14908344540673,0.001,2438,8509,21,0.749887571524958
"AC002480.3",0.00622139758170707,0.946576214543908,0.006,5113,3436,23,-0.343639533112648
"AC002480.4",0.0147183259976614,1.13345428259618,0.015,6203.5,8124,4,-0.35243138804296
"AC002480.5",0.139153727179751,1.07438862151217,0.143,9463.5,6630,5,-1.50547164920926
"AC002511.1",5.8e-12,0.898738270988719,0,587,2540,32,1.5366126995076
"AC002511.2",0.0021024864654316,1.04065991455626,0.003,4303,5729,9,-0.149775005256219
"AC002511.3",0.0136032175701543,0.972532402613811,0.015,6203.5,4016,15,-0.835498727962213
"AC002539.1",0.00254790170588724,1.12841580295649,0.003,4303,7992,23,0.250857646765794
"AC002550.5",0.00111602345770896,1.00245971094612,0.001,2438,4731,4,0.0743723483104155
"AC003003.5",2.56e-10,0.943136184367546,0,587,3355,39,1.29800346564873
"AC003005.2",0.0305765317299366,0.972603078013701,0.027,7070.5,4020,4,-1.06684574059465
"AC003009.1",0.0330367833689581,1.03376112962397,0.031,7184.5,5544,8,-1.09338787598333
"AC003051.1",0.000251000496423999,1.11576932631622,0.001,2438,7671,23,0.604298398956721
"AC003075.4",4.47e-06,1.10736374889516,0.001,2438,7484,29,0.566877618330727
"AC003084.2",0.0123606502318334,1.02723376119545,0.014,5944,5374,15,-0.812307276931106
"AC003088.1",1.54e-05,1.01815280564261,0.001,2438,5133,9,0.1512391927574
"AC003090.1",0.000100022544279438,1.01478013936771,0.001,2438,5049,13,0.134819851077078
