"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"A1BG-AS1",1.89120466674947e-11,0.858919638597295,0,1404,2623,32,1.13475261188918
"A2M-AS1",0.0212142316721028,1.25537215157469,0.107,7306.5,7236,12,-0.92254533623466
"A2ML1-AS1",0.00364528215664069,1.12890258759534,0.025,5179.5,5753,6,-0.720918885140028
"AA06",0.0100964105888174,0.877982590331728,0.065,6329,2790,8,-1.00607492188541
"AADACL2-AS1",3.61097294614877e-05,0.911411922585717,0,1404,3148,11,0.986421806158823
"AATK-AS1",1.07413714801252e-15,0.875717296815255,0,1404,2769,45,1.08632245045187
"AB015752.3",0.460113541491527,1.63864837438612,0.268,9523,10030,5,-0.551720551109392
"AB019440.50",0.00512792419850467,0.956538610510083,0.036,5518.5,3663,5,-1.03050928221337
"ABCA9-AS1",0.00192583153395165,1.26374788754881,0.014,4455,7326,10,-0.253078095552395
"ABCC5-AS1",0.000906866425068437,0.946765767930205,0.009,3934,3561,12,-0.561138404370316
"AC000032.2",0.0999578954181658,0.824230679210413,0.33,10203,2291,3,-1.37082286674035
"AC000036.4",0.120729695878315,1.69656929786138,0.354,10584,10285,4,-0.554436770323123
"AC000067.1",0.0149851945055465,0.688587942075524,0.08,6821,1250,4,-0.465257481319568
"AC000068.5",0.00174718746133596,0.632298171152772,0.014,4455,943,5,0.307293230006629
"AC000099.1",0.00579355782478241,1.11791653673809,0.041,5637,5618,4,-0.904153226226451
"AC000111.3",0.0818661289975825,1.0159147123982,0.29,9742.5,4383,6,-1.77261742763071
"AC000111.6",0.00477132716997835,1.04484649080874,0.033,5453.5,4723,5,-1.00348467390512
"AC000123.4",0.0806028058916654,1.11664439399987,0.289,9721,5603,3,-1.53510362110573
"AC000124.1",0.188545380832718,1.3948739794489,0.473,11793,8523,3,-1.1373613053788
"AC000370.2",2.66852558227386e-06,1.07726107988526,0,1404,5121,24,0.941066956306248
"AC002064.4",9.09267166227215e-05,0.672130072263277,0,1404,1166,6,1.74793126566884
"AC002064.5",0.000594494672322589,0.991643560109494,0.007,3573,4088,11,-0.597036027247465
"AC002066.1",2.37444039301319e-06,0.982842166088277,0,1404,3974,16,0.79774598756007
"AC002076.10",0.0987714446445213,1.19078378881855,0.323,10151,6498,4,-1.41015633037976
"AC002115.5",2.1117904418469e-07,0.623860201153491,0,1404,903,13,1.9342774591026
"AC002115.9",0.0840486454623765,0.616813942242945,0.295,9809,865,3,-0.609892188657497
"AC002116.7",2.5754251722208e-07,0.934598455711358,0,1404,3406,25,0.923602992842755
"AC002116.8",3.64709719092228e-17,0.926895625219003,0,1404,3336,49,0.944297579903197
"AC002127.4",0.00137748437452267,1.094954616055,0.011,4165,5332,11,-0.534560588300953
"AC002310.12",0.229686999042154,1.2702724195689,0.464,11689.5,7404,6,-1.36516794669908
"AC002310.7",2.7264102665636e-06,0.763602257845159,0,1404,1791,13,1.42888340667991
"AC002331.1",0.0325694929199365,1.69084551341993,0.146,7986.5,10263,6,-0.277844404819881
"AC002368.4",5.56946766202162e-05,0.889094866879548,0,1404,2911,7,1.04841277105872
"AC002383.2",0.00088985265985345,1.43022447112947,0.009,3934,8783,13,0.197368467262644
"AC002398.11",0.109934949811296,1.16146695356378,0.345,10429.5,6188,4,-1.49370068237293
"AC002398.12",0.000115543092283751,0.994853828535983,0,1404,4132,9,0.767370918715704
"AC002398.13",2.0238389685072e-05,0.448497624479153,0,1404,354,5,2.75944835996435
"AC002398.5",6.69982063271697e-16,0.827769849215501,0,1404,2324,55,1.22712243596416
"AC002401.1",4.98893135059621e-08,0.901620478611584,0,1404,3044,28,1.01343088404939
"AC002429.5",0.00619041456039264,1.03080093471118,0.046,5780,4571,5,-1.14399192556769
"AC002451.3",0.0208871390371414,1.27627591712013,0.106,7286,7475,6,-0.878228784941392
"AC002454.1",7.83424994343734e-05,1.13534855863489,0,1404,5856,16,1.07239289744594
"AC002456.2",0.000342042961198272,1.39798736542555,0.004,3210.5,8546,13,0.397068320784927
"AC002463.3",7.22520125481718e-06,1.76062531756406,0,1404,10511,25,0
"AC002467.7",0.000109630680858517,0.809384596222762,0,1404,2174,12,1.28328635751854
"AC002472.11",7.61751509420114e-05,0.137046014293274,0,1404,78,6,5.72311942012049
"AC002480.2",0.00040767533231707,1.24588965284385,0.007,3573,7146,20,-0.0677641777219791
"AC002480.3",8.25989785516345e-06,1.04064418709332,0,1404,4679,23,0.854592173073328
"AC002480.4",0.0822813736211604,1.08496150287451,0.29,9742.5,5215,4,-1.60819147563335
