"HGNC","ENTREZ_ID","RANK","ew1314.BCSCORE","ew1314.PVAL"
"UBE2J1",51465,1,15.224704581,0.000000000000000000000000000000000000000000000000000121225644544458
"SYVN1",84447,2,15.139585406,0.000000000000000000000000000000000000000000000000000443857789631315
"P4HB",5034,3,15.054466231,0.0000000000000000000000000000000000000000000000000016134666357737
"ALG12",79087,4,15.026093172,0.00000000000000000000000000000000000000000000000000247686574316195
"EDEM2",55741,5,14.600497295,0.00000000000000000000000000000000000000000000000139402117127983
"EDEM3",80267,6.5,14.174901419,0.000000000000000000000000000000000000000000000655135091176122
"OS9",10956,6.5,14.174901419,0.000000000000000000000000000000000000000000000655135091176122
"MPDU1",9526,8,13.720932483,0.000000000000000000000000000000000000000000380402928182987
"SAMD4B",55095,9,13.522321074,0.0000000000000000000000000000000000000000057737049819053
"SMG7",9887,10,13.437201899,0.0000000000000000000000000000000000000000183008426872333
"MPI",4351,11,13.295336606,0.000000000000000000000000000000000000000123181017669563
"SEL1L",6400,12,13.23859049,0.000000000000000000000000000000000000000262626689949961
"SMG1",23049,13,12.784621554,0.0000000000000000000000000000000000000999165774290158
"SOD1",6647,14,12.67112932,0.000000000000000000000000000000000000427374498805326
"DOHH",83475,15,12.586010145,0.00000000000000000000000000000000000126048563484697
"XRN1",54464,16,12.472517911,0.00000000000000000000000000000000000527204100307309
"SMG6",23293,17,12.359025677,0.0000000000000000000000000000000000217700976297788
"UBE2G2",7327,18,12.302279561,0.0000000000000000000000000000000000440267503737073
"DDX5",1655,19,12.273906502,0.0000000000000000000000000000000000625350733243478
"PGM3",5238,20,12.217160385,0.000000000000000000000000000000000125862273074868
"SMG5",23381,21,12.018548976,0.00000000000000000000000000000000141956641105756
"HSPA14",51182,22,11.933429801,0.00000000000000000000000000000000396200221469909
"TXNDC11",51061,23,11.876683684,0.00000000000000000000000000000000782259865814738
"ALG2",85365,24.5,11.734818391,0.0000000000000000000000000000000422537598754623
"UPF3B",65109,24.5,11.734818391,0.0000000000000000000000000000000422537598754623
"PTPA",5524,26,11.678072274,0.0000000000000000000000000000000824974841556703
"AUP1",550,27,11.649699216,0.00000000000000000000000000000011513506858168
"DPM1",8813,28,11.507833924,0.000000000000000000000000000000602330966506139
"PPP4C",5531,29,11.479460865,0.000000000000000000000000000000836602931139018
"N6AMT1",29104,30,11.39434169,0.00000000000000000000000000000223094830213666
"RFT1",91869,31,11.365968631,0.00000000000000000000000000000308876911585614
"UPF2",26019,32,11.309222515,0.00000000000000000000000000000590658192114621
"ALG1",56052,33,11.224103339,0.000000000000000000000000000015526011294716
"ALG3",10195,34,11.138984164,0.0000000000000000000000000000405191976410655
"BAP1",8314,35,11.053864988,0.0000000000000000000000000001049879386263
"DPAGT1",1798,36.5,11.02549193,0.000000000000000000000000000143969931204349
"INTS3",65123,36.5,11.02549193,0.000000000000000000000000000143969931204349
"DOLK",22845,38,10.685015229,0.00000000000000000000000000598147102292795
"GMPPB",29925,39,10.543149936,0.000000000000000000000000027318797500102
"DHRSX",207063,40,10.401284644,0.000000000000000000000000122306440669436
"DHPS",1725,41,10.259419352,0.000000000000000000000000536751419122923
"TELO2",9894,42,10.117554059,0.00000000000000000000000230906005248444
"TPI1",7167,44,10.089181001,0.00000000000000000000000308409957852567
"UPF1",5976,44,10.089181001,0.00000000000000000000000308409957852567
"XRN2",22803,44,10.089181001,0.00000000000000000000000308409957852567
"NDOR1",27158,46,9.635212066,0.000000000000000000000283873242846044
"TMED2",10959,47,9.55009289,0.000000000000000000000647900259275555
"DNAJC2",27000,48,9.351481481,0.00000000000000000000432142602609194
"ARMC7",79637,49,9.294735364,0.00000000000000000000737864236369157
"CIAO1",9391,50,9.266362306,0.00000000000000000000963013536524634
"GNB1L",54584,51,9.209616189,0.0000000000000000000163646550160465
"CPSF6",11052,52.5,9.039377838,0.0000000000000000000787830197686016
"TIPRL",261726,52.5,9.039377838,0.0000000000000000000787830197686016
"NMNAT1",64802,54,9.01100478,0.000000000000000000102088561929026
"SBDS",51119,55,8.954258663,0.000000000000000000171013040494701
"GFPT1",2673,56,8.925885604,0.000000000000000000221073636811061
"TTI2",80185,57,8.869139487,0.000000000000000000368566480245583
"DIS3",22894,58.5,8.81239337,0.000000000000000000612509435791829
"KLF16",83855,58.5,8.81239337,0.000000000000000000612509435791829
"RPP21",79897,60,8.698901137,0.0000000000000000016755665546212
"PPAN",56342,61,8.613781961,0.00000000000000000353445373154801
"RTCB",51493,62,8.585408903,0.00000000000000000452569517429076
"METAP2",10988,63,8.103066909,0.000000000000000267953726018504
"BRD4",23476,65.5,8.074693851,0.000000000000000338230765901158
"BUB3",9184,65.5,8.074693851,0.000000000000000338230765901158
