"HGNC","ENTREZ_ID","RANK","ew1364.BCSCORE","ew1364.PVAL"
"NCKAP1L",3071,1,-43.57065,0
"ABI1",10006,2,-36.99545,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000677612071025806
"ARPC4",10093,3.5,-26.0368,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000094912247709138
"BRK1",55845,3.5,-26.0368,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000094912247709138
"ACTR2",10097,5,-22.90575,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203593628054618
"ACTR3",10096,6,-21.49678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000834360442931664
"ARPC3",10094,7,-20.87057,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000495722761556907
"LDLRAP1",26119,8,-20.40092,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000820495510793262
"ARPC2",10109,9,-18.99195,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000994035683798922
"PTDSS1",9791,10,-18.52229,0.0000000000000000000000000000000000000000000000000000000000000000000000000000682526700619207
"ACTB",60,11,-18.20918,0.0000000000000000000000000000000000000000000000000000000000000000000000000218217228552566
"ARPC4-TTLL3",100526693,12,-18.05263,0.000000000000000000000000000000000000000000000000000000000000000000000000376110070863768
"FAM49B",51571,13,-16.33056,0.00000000000000000000000000000000000000000000000000000000000299163091908158
"CAPZA1",829,14,-14.68676,0.00000000000000000000000000000000000000000000000039186274835591
"MYO9B",4650,15,-13.46565,0.0000000000000000000000000000000000000000124558135019297
"CAPZB",832,16,-13.37172,0.0000000000000000000000000000000000000000442355531407489
"CYFIP1",23191,17,-12.91772,0.0000000000000000000000000000000000000178790482797459
"MAP3K7",6885,18,-12.30717,0.0000000000000000000000000000000000414392934106823
"FADD",8772,19,-12.1193,0.000000000000000000000000000000000417344959300468
"PGGT1B",5229,20,-12.08799,0.00000000000000000000000000000000061120407397757
"C1orf43",25912,21,-11.72792,0.0000000000000000000000000000000458419995476624
"PREX1",57580,22,-11.69661,0.000000000000000000000000000000066323703341431
"VDAC1",7416,23,-10.78861,0.00000000000000000000000000194819016762332
"SPTSSA",171546,24,-9.927572,0.00000000000000000000001579263604919
"CCNC",892,25,-9.911917,0.0000000000000000000000184743810913248
"GAS7",8522,26,-9.817986,0.0000000000000000000000471033984309416
"SPTLC2",9517,27,-9.645778,0.000000000000000000000256106504038987
"SLC5A3",6526,28,-9.363984,0.00000000000000000000383927312311666
"RAC1",5879,29,-9.317018,0.00000000000000000000598279637798084
"SPTLC1",10558,30,-8.972604,0.000000000000000000144792835116805
"PLEKHO2",80301,31,-8.894327,0.00000000000000000029387196395979
"BAP1",8314,32,-8.565568,0.00000000000000000537721874699146
"MLLT1",4298,33,-8.39336,0.0000000000000000236221077029294
"PICALM",8301,34,-8.315084,0.0000000000000000458436526663213
"RALGAPB",57148,35,-8.252463,0.0000000000000000775814726575824
"MED13L",23389,36,-8.221153,0.000000000000000100777966583291
"SPPL3",121665,37,-8.205498,0.000000000000000114818506916054
"SRSF6",6431,38,-8.111566,0.000000000000000249857528368348
"KAT6A",7994,39,-7.892393,0.00000000000000148223233508374
"FASN",2194,40,-7.845428,0.00000000000000215739672897831
"RAB10",10890,41,-7.767151,0.00000000000000401355648742964
"HSD17B12",51144,42,-7.751496,0.00000000000000454081035140351
"CASP8",841,43,-7.735841,0.00000000000000513608883757188
"ZBTB2",57621,44,-7.407081,0.0000000000000645548058085635
"PIK3R5",23533,45,-7.266184,0.000000000000184892407770871
"GNA13",10672,46.5,-7.250529,0.000000000000207573488065105
"PFN1",5216,46.5,-7.250529,0.000000000000207573488065105
"TADA1",117143,48,-7.156598,0.000000000000413518817570754
"BCL11A",53335,49,-7.109632,0.000000000000581763864915719
"LCMT1",51451,50,-6.937425,0.00000000000199655593686308
"GPR84",53831,51.5,-6.859148,0.00000000000346362217608904
"SUPT20H",55578,51.5,-6.859148,0.00000000000346362217608904
"BRIP1",83990,53.5,-6.780872,0.00000000000597263382852157
"BRPF1",7862,53.5,-6.780872,0.00000000000597263382852157
"PLEKHF2",79666,55,-6.686941,0.000000000011394184854192
"TAF5L",27097,56,-6.655631,0.0000000000141043585936415
"MICALL1",85377,57,-6.62432,0.0000000000174425157636165
"TADA2B",93624,58,-6.514734,0.0000000000364092912638277
"RAB14",51552,59,-6.483423,0.0000000000448323243602348
"DOCK2",1794,60,-6.405147,0.0000000000751122853170001
"NCAPG2",54892,61,-6.217284,0.000000000252916879177318
"ELOVL5",60481,62.5,-6.201629,0.000000000279408437629304
"WDFY3",23001,62.5,-6.201629,0.000000000279408437629304
"FBXO11",80204,64.5,-6.154663,0.000000000376186536981478
"KAT2A",2648,64.5,-6.154663,0.000000000376186536981478
"EXOC8",149371,66,-6.060732,0.000000000677517235473593
"BRD2",6046,67,-6.013766,0.000000000906310545608318
"GNG5",2787,68.5,-5.919835,0.00000000161132385424158
"PDS5A",23244,68.5,-5.919835,0.00000000161132385424158
"AP3B1",8546,70,-5.888525,0.00000000194828805230947
"LIPT2",387787,71,-5.825904,0.00000000284021320048304
"METAP1",23173,72,-5.794593,0.00000000342435321937489
"FANCI",55215,73.5,-5.731972,0.00000000496348313288266
"MOB4",25843,73.5,-5.731972,0.00000000496348313288266
"PEX10",5192,75,-5.700662,0.00000000596715285401588
"ERCC4",2072,76,-5.653696,0.00000000785169261325132
"LCP1",3936,77.5,-5.622386,0.00000000941689257126186
"USP7",7874,77.5,-5.622386,0.00000000941689257126186
"GNPAT",8443,79,-5.591075,0.0000000112834036179711
"TAF6L",10629,80,-5.57542,0.0000000123466683869159
"DSCC1",79075,81,-5.528455,0.0000000161531634055867
"TBC1D10B",26000,82,-5.356247,0.0000000424841678645002
"MSN",4478,83,-5.340592,0.000000046321773670439
"ARHGEF2",9181,84,-5.309281,0.0000000550292695825576
"CERS2",29956,85,-5.231005,0.0000000842954744507149
"RCOR1",23186,86,-5.121419,0.000000151622497329958
"MEN1",4221,87,-5.043143,0.000000228973374482397
"ARHGAP17",55114,88,-5.011832,0.000000269571325944948
"RARS2",57038,89,-4.980522,0.000000317064964033906
"CAB39",51719,90,-4.964867,0.000000343740832871913
"EXOC7",23265,91.5,-4.949211,0.000000372574657322655
"SAMD1",90378,91.5,-4.949211,0.000000372574657322655
"YIPF5",81555,93,-4.902246,0.000000473735408319181
"STRN",6801,94,-4.839625,0.000000650421757556603
"MBNL1",4154,95,-4.792659,0.000000822926192810475
"MAGT1",84061,96,-4.761349,0.000000961515787538383
"PEX12",5193,97,-4.730038,0.00000112238907814395
"ACTR1A",10121,98.5,-4.683073,0.00000141302905041632
"CSNK1A1",1452,98.5,-4.683073,0.00000141302905041632
"CDK2",1017,100.5,-4.667417,0.00000152504949085288
"HTT",3064,100.5,-4.667417,0.00000152504949085288
"P2RY8",286530,102,-4.651762,0.00000164555394481358
"SNAPC3",6619,103,-4.636107,0.00000177516117379514
"EXOC2",55770,104.5,-4.542176,0.0000027838263630882
"ZNF217",7764,104.5,-4.542176,0.0000027838263630882
"U2SURP",23350,106,-4.463899,0.0000040240756543367
"WDR48",57599,107,-4.432589,0.00000465541243164769
"IPMK",253430,108,-4.401279,0.00000538073209165359
"DCTD",1635,109,-4.369968,0.00000621323726676409
"TFRC",7037,110,-4.338658,0.0000071677702227037
"F2RL3",9002,112.5,-4.307347,0.00000826121529024521
"PMPCB",9512,112.5,-4.307347,0.00000826121529024521
"XPO1",7514,112.5,-4.307347,0.00000826121529024521
"ZDHHC5",25921,112.5,-4.307347,0.00000826121529024521
"WDR74",54663,115,-4.291692,0.0000088658394035466
"CNOT4",4850,116,-4.276037,0.00000951248089431145
"SAFB2",9667,117.5,-4.213416,0.0000125768580583923
"SARS1",6301,117.5,-4.213416,0.0000125768580583923
"SH3GL1",6455,119,-4.197761,0.0000134783449095841
"ARF4",378,121.5,-4.182105,0.0000144411259901872
"HNRNPU",3192,121.5,-4.182105,0.0000144411259901872
"KDM2A",22992,121.5,-4.182105,0.0000144411259901872
"MRM2",29960,121.5,-4.182105,0.0000144411259901872
"BCS1L",617,125,-4.16645,0.0000154689854969368
"GET4",51608,125,-4.16645,0.0000154689854969368
"MED12",9968,125,-4.16645,0.0000154689854969368
"MBTPS2",51360,127,-4.150795,0.0000165661212618816
"KIF15",56992,128,-4.13514,0.000017736915439176
"RAB1A",5861,129,-4.025553,0.0000284207878037622
"CDC16",8881,130,-3.994243,0.0000324506376845117
"CFAP20",29105,131.5,-3.962932,0.0000370174371584495
"PEX5",5830,131.5,-3.962932,0.0000370174371584495
"FANCL",55120,133,-3.931622,0.00004218732971054
"CNOT1",23019,135,-3.915967,0.0000450212824461117
"NME6",10201,135,-3.915967,0.0000450212824461117
"TECR",9524,135,-3.915967,0.0000450212824461117
"TRIM28",10155,137,-3.900311,0.000048034599619455
"CREB1",1385,138,-3.884656,0.0000512374389421772
"EXOC5",10640,140.5,-3.853346,0.000058257278829928
"FANCC",2176,140.5,-3.853346,0.000058257278829928
"MYLIP",29116,140.5,-3.853346,0.000058257278829928
"TMCC1",23023,140.5,-3.853346,0.000058257278829928
"KCTD10",83892,143,-3.837691,0.0000620983129248943
"F8A1",8263,145,-3.822035,0.000066177449162881
"F8A2",474383,145,-3.822035,0.000066177449162881
"RNF149",284996,145,-3.822035,0.000066177449162881
"DMAC2",55101,148.5,-3.790725,0.0000751040957255506
"H3C14",126961,148.5,-3.790725,0.0000751040957255506
"H3C15",333932,148.5,-3.790725,0.0000751040957255506
